Odia,English
ଏହି,This
ଓ,O
ସେ,He
ଏକ,a
କରିଥିଲେ,did
ଏବଂ,And
ମଧ୍ୟ,Also
ଏହା,This
ପାଇଁ,for
ପରେ,After
ହୁଏ,happens
କରି,by
ବା,or
ଭାବରେ,as
ମସିହାରେ,in
ତାଙ୍କ,his
ଜଣେ,One
ଥିଲେ,was
ଏହାର,Its
ରୋଗ,Disease
କରିବା,to do
ସମୟରେ,during
ତାଙ୍କର,His
ଅଧିକ,More
କରାଯାଏ,is done
ମଧ୍ୟରେ,between
ହୋଇଥିଲା,happened
ଅନେକ,Many
ଥିଲା,was
ନାମ,Name
ହୋଇ,Being
ଥିବା,having
ଭାବେ,as
ସହ,co
ଆରମ୍ଭ,Beginning
ଅଭିନୟ,acting
ବୋଲି,said
କାର୍ଯ୍ୟ,Work
ଭାରତୀୟ,Indian
କିଛି,Something
ଗୋଟିଏ,One
କିନ୍ତୁ,But
ରହିଛି,has
ତାଙ୍କୁ,him
ବିଭିନ୍ନ,Various
ଅନ୍ୟ,Other
ପ୍ରଥମ,First
ସହିତ,with
ଓଡ଼ିଶା,Odisha
ସେହି,That's it
ନାହିଁ,No
ହୋଇଥାଏ,happens
ଉପରେ,Above
ନିମନ୍ତେ,for
ଓଡ଼ିଆ,Odia
କଲେ,did
ପ୍ରାୟ,approx
ହେଲେ,if
ଯେ,That
ବର୍ଷ,Year
ତଥା,And
କୌଣସି,any
ଯାହା,which
କରନ୍ତି,does
ହୋଇଥିଲେ,was
ଅନୁସାରେ,According to
ନିଜ,own
ଏହାକୁ,it
ଆଦି,Adi
ହେଲା,It happened
ପର୍ଯ୍ୟନ୍ତ,until
ନ,No
ଦେଇଥିଲେ,gave
କୁହାଯାଏ,It is said
ଦିନ,Day
ଚଳଚ୍ଚିତ୍ର,The movie
କରିବାକୁ,to do
ଥାଏ,there is
ବିଧାନ,Constitution
ଜନ୍ମ,born
ଜାତୀୟ,National
ଔଷଧ,medicine
ବେଳେ,sometimes
ମୁଖ୍ୟ,Chief
ହେବା,to be
ଗ୍ରହଣ,acceptance
ବ୍ୟବହାର,usage
ଅଟେ,is
କରେ,does
ତିଆରି,made
ହେଉଛି,is
ମନ୍ଦିର,Temple
କରିଛନ୍ତି,Done
କରୁଥିଲେ,was doing
ଭଳି,like
ସୃଷ୍ଟି,Creation
କେତେକ,Some
ସାଧାରଣ,Common
କେବଳ,Only
ଦିଆଯାଏ,is given
ନେଇ,take
ଏଠାରେ,Here
କରାଯାଇଥିଲା,Done
କରିଥିଲା,did
ପ୍ରତି,per
ଦେଇ,by
କାରଣ,because
ଦୁଇ,Two
କଥାଚିତ୍ର,cartoon
ଦେଖାଯାଏ,It appears
ପ୍ରଥମେ,First
ଲୋକ,people
ପରି,Like
ସନ,Sun
ଅଛି,Yes
ନାମରେ,in the name of
ଯୋଗୁ,because
କଥାଚିତ୍ରଟିର,of cartoons
ବିବାହ,Marriage
ମସିହା,Year
ନାମକ,named
ପୁରସ୍କାର,Award
ମଧ୍ୟରୁ,out of
କାମ,Work
ପ୍ରସ୍ତୁତ,Ready
ମାସ,Mass
ତାହା,That's it
ମହିଳା,Woman
ସମୟ,Time
ହୋଇଥିବା,done
ତେଣୁ,So
ସମସ୍ତ,All
ଛୋଟ,small
ପୂଜା,Pooja
ସ୍ଥାନରେ,in place
ଅବସ୍ଥିତ,Located
ରଚନା,Composer
ରାଜା,King
ନିଜର,own
ନିର୍ମାଣ,Construction
ବହୁ,A lot
ଭାରତର,of India
ସବୁ,All
ସାଧାରଣତଃ,Normally
ଚିକିତ୍ସା,Treatment
ମସିହାର,year
କରାଯାଇଛି,Done
ତାରିଖରେ,On the date
ଭାରତ,India
କରୁଥିବା,doing
କିମ୍ବା,or
ର,of
ଏଥିରେ,In this
ସଭା,Meeting
ହୋଇପାରେ,May be
ରାଜ୍ୟ,State
ଲାଭ,Profit
ମାତ୍ର,but
ଠାରୁ,from
ପୂର୍ବରୁ,Before
ଦୁଇଟି,Two
ଶିକ୍ଷା,Education
ହୋଇଛି,Done
କରିଥିବା,did
ଜନ୍ମଗ୍ରହଣ,birth
ତେବେ,If so
ସେମାନେ,They are
ଦକ୍ଷିଣ,South
ବିଷୟରେ,about
ରକ୍ତ,Blood
ରେ,in
କି,what
ଖାଦ୍ୟ,Food
ଚଳଚ୍ଚିତ୍ରରେ,In the movie
ସଙ୍ଗୀତ,Music
ଅଞ୍ଚଳରେ,in the area
ଦେଖିବାକୁ,to see
ଧରି,Hold on
ନିର୍ମିତ,Built
ପ୍ରକାର,Type
ମୃତ୍ୟୁ,Death
ବ୍ୟବ‌ହାର,usage
ଶେଷ,The end
ବଡ଼,big
ରୂପେ,as
ସ୍ଥାନ,Place
କରାଯାଇଥାଏ,Done
ଲକ୍ଷଣ,symptoms
ଅଧିକାଂଶ,Most
ଏ,A
ଯୋଗୁଁ,due to
ଆଉ,And
ଦେବୀ,Goddess
ନିର୍ବାଚନ,Election
ନିର୍ବାଚିତ,Elected
ପ୍ରକାଶ,Disclosure
ଇତ୍ୟାଦି,etc
ହୋଇଯାଏ,becomes
ପାଳନ,Observance
ସହର,City
ଆବଶ୍ୟକ,required
ମିଳେ,found
ସେଠାରେ,There
ମୁକ୍ତିଲାଭ,release
ସଂଖ୍ୟା,Number
ସ‌ହ,co
ଅତି,very
ଉତ୍ତର,Answer
ଜୀବନ,Life
ପ୍ରଦାନ,Giving
ଭୂମିକାରେ,in the role
ପ୍ରତିଷ୍ଠା,Establishment
ଭିତରେ,Inside
ହେଉଥିବା,happening
ଉଚ୍ଚ,High
କରିଥାନ୍ତି,does
ପୂର୍ବ,East
ହିଁ,That's it
ଉଭୟ,Both
ରୋଗର,of disease
ଏହାପରେ,After that
ଶକ୍ତି,Power
ଅନ୍ୟାନ୍ୟ,Other
ଜଳ,Water
ନିକଟରେ,Recently
ନିର୍ଣ୍ଣୟ,determination
ବିଶ୍ୱାସ,Faith
କମ,Com
ଦାସ,Slave
ପରବର୍ତ୍ତୀ,Next
ଭାଷା,Language
ଯେଉଁ,which
୨,2
ଭାଗ,part
ଯୋଗ,Yoga
ସାହିତ୍ୟ,Literature
ଅର୍ଥ,Meaning
କରିଥାଏ,does
ଦଳ,Team
ଏପରି,Such
ବର୍ତ୍ତମାନ,Now
ଭାଷାରେ,in the language
କଳା,Art
କେନ୍ଦ୍ର,Center
ନୃତ୍ୟ,Dance
ସାହାଯ୍ୟ,help
ସେବା,Service
ହିନ୍ଦୁ,Hindu
କିଲୋମିଟର,km
ନୁହେଁ,No
ପରିବର୍ତ୍ତନ,Change
ପ୍ରକାରର,Kind of
ପ୍ରାଚୀନ,Elder
ସମସ୍ୟା,problem
ଏବେ,now
ଓଡ଼ିଶାର,Odisha
କଥା,thing
କରିଥିଲେ।,did.
ଦ୍ୱିତୀୟ,Second
ଭଲ,Good
ରହିଥିବା,Stayed
ଗୀତ,song
ଜନତା,The crowd
ପରୀକ୍ଷା,Exam
ଭିନ୍ନ,Different
ମିଳିଥିଲା,was found
ମୁଖ୍ୟତଃ,Mainly
ହୁଅନ୍ତି,becomes
ଅଞ୍ଚଳ,region
ଅଧିକାର,Rights
ଇଂରାଜୀ,English
ଦେଲେ,gave
ପୁଣି,Again
ଫଳରେ,Fruit
ବାପାଙ୍କ,father's
ବୃଦ୍ଧି,Increase
ଯଥା,E.g
ଶବ୍ଦ,word
ସେମାନଙ୍କ,their
ହେବ,will be
୧,1
ଅଳ୍ପ,Few
ନିର୍ଦ୍ଦେଶକ,Director
ବର୍ଣ୍ଣନା,Description
୩,3
କରାଗଲା,Done
କ୍ଷେତ୍ରରେ,In case
ଜଣ,people
ଦେଶ,Country
ନଦୀ,River
ନାଟକ,Drama
ପାଇ,Pi
ବିଶିଷ୍ଟ,Prominent
ବିଶେଷ,Special
ଲାଗି,Stick to it
ସବୁଠାରୁ,the most
ସରକାର,Govt
ଅଛନ୍ତି,are
କମ୍,Low
ତାହାର,His
ବହୁତ,A lot
ବିଶ୍ୱ,World
ରହିଥାଏ,remains
ରାଜ୍ୟର,of the State
ସର୍ବାଧିକ,max
ସ‌ହିତ,with
ହାସଲ,Accomplishment
ହେଉଛନ୍ତି,is
୫,5
ଅନୁଯାୟୀ,According to
କାହାଣୀ,Story
ପ୍ରବେଶ,Entry
ପ୍ରମୁଖ,Major
ବ୍ୟବସ୍ଥା,arrangement
ଯଦି,If
ଅଂଶ,Part
ଅଭିନେତ୍ରୀ,Actress
କରିବାର,to do
ଜିଲ୍ଲାର,of the district
ତା,her
ଥର,Times
ନିର୍ଦ୍ଦେଶନା,Direction
ପଦାର୍ଥ,Material
ପିତା,Father
ମନ୍ତ୍ରୀ,Minister
ଯାଇ,Gone
ଅପେକ୍ଷା,Waiting
ଆମେରିକାରେ,In America
ଏମାନେ,These are
ଗଠନ,Structure
ତିନି,Three
ଦଳର,of the party
ପରିଚିତ,Acquaintance
ପୁତ୍ର,son
ବି,b
ଭାରତରେ,in India
ଯେଉଁଥିରେ,in which
ଶିକାର,Hunting
ସଭାରେ,At the meeting
ଦେଶରେ,in the country
ନୂତନ,New
ପାଇଥିଲେ,got
ବନ୍ଦ,Closed
ବ୍ୟବହୃତ,Used
ମିଶ୍ର,Mishra
ଯାତ୍ରା,Journey
ଶ୍ରେଷ୍ଠ,the best
ସଂକ୍ରମଣ,Contagion
ସକ୍ରିୟ,Active
୪,4
ଜୁନ,Jun
ପ୍ରକାଶିତ,Published
ବିଦ୍ୟାଳୟ,School
ମାନେ,I mean
ହେବାର,to be
ଅନୁଷ୍ଠିତ,Held
କରିବାରେ,in doing
ଜଣାଯାଏ,It is known
ତରଫରୁ,on behalf of
ଦର୍ଶନ,Philosophy
ନିର୍ବାଚନରେ,In the election
ଭାଗରେ,in part
ଯନ୍ତ୍ରଣା,Pain
ଯାହାକି,which
ରାଜନୀତିରେ,In politics
ରୋଗରେ,in disease
ଶାସନ,Governance
ସରକାରୀ,Govt
ହେଇଥିଲା,was
ଅଫ,Off
କାରଣରୁ,because of
ଚିତ୍ର,Fig
ଜଗତରେ,in the world
ପଶ୍ଚିମ,West
ପାଖରେ,next to
ପାଖାପାଖି,approx
ପ୍ରସିଦ୍ଧ,Famous
ଯାଏ,Go
ରହି,staying
ରହେ,stays
ଲୋକଙ୍କ,of the people
ଅଟନ୍ତି,are
ଆକ୍ରମଣ,attack
ଗଛ,tree
ନିଜେ,himself
ନିମ୍ନ,Below
ନୂଆ,New
ବିଜ୍ଞାନ,Science
ମାଧ୍ୟମରେ,through
ଯୁଦ୍ଧ,War
ଶ୍ରୀ,Mr
ସାହାଯ୍ୟରେ,with help
ସେପ୍ଟେମ୍ବର,Sept
ସ୍ୱାଧୀନତା,Freedom
ସ୍ୱାସ୍ଥ୍ୟ,Health
୧୦,10
କବି,Poet
କବିତା,Poetry
ତଥ୍ୟ,Data
ଦେବା,to give
ବ୍ୟକ୍ତି,person
ବୟସରେ,at age
ମୋଟ,total
ଯୁକ୍ତରାଷ୍ଟ୍ର,United States
ସିଂହ,Lion
ଅନ୍ୟତମ,One of the
ଓଡ଼ିଶାରେ,In Odisha
କରୁଛନ୍ତି,doing
କର୍ମକର୍ତ୍ତା,worker
କଲା,did
କାଳରେ,during
ଜୁଲାଇ,July
ନିର୍ଦ୍ଦିଷ୍ଟ,Specific
ପ୍ରତ୍ୟେକ,each
ବାଘ,Tiger
ମଇ,May
ମୂଲ୍ୟ,Price
ରଖି,keeping
ଅଗଷ୍ଟ,Aug
ଆକାରରେ,in the form of
ଆସି,Come on
କେହି,Someone
କ୍ଷେତ୍ର,area
ଗ୍ରାମ,Village
ଗ୍ରାମରେ,In the village
ଚନ୍ଦ୍ର,Moon
ଚାରି,Four
ଚେଷ୍ଟା,Try
ଜୀବ,creature
ତାକୁ,him
ଦିଗରେ,towards
ପାଣି,Water
ବୟସ,Age
ଯେତେବେଳେ,when
ରହିଥିଲେ,stayed
ଶିଶୁ,Baby
ସଙ୍କଟ,Crisis
ସମ୍ଭାବନା,Probability
ସେତେବେଳେ,At that time
ସ୍ୱତନ୍ତ୍ର,Exclusive
୧୨,12
ଅବସ୍ଥା,condition
ଝିଅ,girl
ଦୂର,away
ଦୂରରେ,Far away
ପତ୍ନୀଙ୍କ,wife's
ପରିବାର,Family
ପୁସ୍ତକ,Book
ପ୍ରଭାବିତ,Impressed
ବିଷୟ,Subject
ମନ୍ଦିରର,of the temple
ମହାନ୍ତି,Mohanty
ମୂଳ,Original
ଲିଖିତ,Written
ଲୋକଙ୍କର,of the people
ଶେଷରେ,Finally
ସମାନ,Same
ଅଞ୍ଚଳର,of the region
ଅଲଗା,Different
ଆଧୁନିକ,Modern
କୁ,to
ଥରେ,Once
ଦେଖି,seeing
ପକ୍ଷୀ,the bird
ପତ୍ର,Leaf
ପାରମ୍ପରିକ,Traditional
ପୁରୁଷ,male
ମାସରେ,in the month
ମୁଁ,I
ଯାହାର,whose
ରଙ୍ଗ,Color
ସାମାଜିକ,Social
ସ୍ଥାପନ,installation
୧୫,15
ଏମାନଙ୍କ,Theirs
ଟିକା,Vaccination
ତାହାକୁ,him
ନଭେମ୍ବର,Nov
ପ୍ରତିବର୍ଷ,Every year
ଫେବୃଆରୀ,February
ବାହାର,Get out
ବ୍ୟତୀତ,Except
ଭୋଗ,Vog
ମିଳିତ,Combined
ଯାହାକୁ,to whom
ରହିଥିଲା,had
ଲକ୍ଷ,Lakhs
ଲୋକଙ୍କୁ,people
ଶ୍ରେଣୀର,class
ସେଥିରେ,In that
ସେମାନଙ୍କୁ,them
ସ୍ଥାନୀୟ,Local
କରାଯାଇ,Done
ଙ୍କ,of
ଥିବାରୁ,Because
ଦେବ,will give
ଦେଶମାନଙ୍କରେ,In the countries
ବ୍ରିଟିଶ,British
ମଣ୍ଡଳୀରୁ,From the congregation
ମା,Mother
ମୂର୍ତ୍ତି,Sculpture
ଯାଇଥିଲା,Gone
ଯାଏଁ,Let's go
ରଥ,Chariot
ରହିବା,stay
ଶରୀର,the body
ସଙ୍ଗେ,immediately
ସଫଳ,Successful
ସମଗ୍ର,the whole
ସମ୍ପର୍କ,relationship
ସାରା,Sara
ସ୍ତରରେ,level
ହିନ୍ଦୀ,Hindi
୨୦,20
ଅଫ୍,Off
ଉକ୍ତ,The said
କାଳ,Period
ଖଣ୍ଡ,Piece
ଡିଗ୍ରୀ,degree
ତା'ର,her
ଦେବାକୁ,to give
ଧାରାବାହିକ,Series
ପୁରାତନ,old
ପ୍ରାକୃତିକ,Natural
ପ୍ରାପ୍ତ,Received
ଫଳ,Fruit
ବିଶ୍ୱର,of the world
ମସିହାରୁ,Since
ମାନଙ୍କ,of
ମାର୍ଚ୍ଚ,March
ସଂସ୍ଥା,Organization
ସହରର,of the city
ସୂଚନା,Information
ହାର,Necklace
ହୋଇଥିବାରୁ,Because
of,of
ଅତ୍ୟନ୍ତ,very
ଅନୁମାନ,Guess
ଅନ୍ତର୍ଭୁକ୍ତ,included
ଆମେରିକୀୟ,American
ଘର,home
ଘରେ,at home
ଘୋଷଣା,Declaration
ଜନସଂଖ୍ୟା,Population
ଜାନୁଆରୀ,January
ଜିଲ୍ଲା,District
ଧର୍ମ,Religion
ନିଜକୁ,myself
ନେଇଥିଲେ,took
ପରିବାରର,family
ବାପା,father
ବିକାଶ,Development
ମାତା,Mother
ରଙ୍ଗର,of color
ଲେଖା,Writing
ଶତାବ୍ଦୀ,Century
ସଭାକୁ,to the meeting
ସମ୍ମାନ,Respect
ସୁରକ୍ଷା,Security
ସେମାନଙ୍କର,their
ସ୍କୁଲ,School
ସ୍ନାତକ,graduate
୬,6
ଆମେ,we
ଉଲ୍ଲେଖ,Mention
କର୍କଟ,Cancer
ଚଳଚ୍ଚିତ୍ରର,of the movie
ପଣ୍ଡା,Panda
ପ୍ରାର୍ଥୀ,candidate
ପ୍ରୟୋଗ,application
ବାସ,residence
ବିଧାୟକ,MLA
ବିଭାଗ,Division
ଭାଇ,Bro
ମାନ୍ୟତା,Standard
ରୁ,from
ରୋଗୀ,Patient
ଲୋକପ୍ରିୟ,Popular
ଶାରୀରିକ,physical
ସନ୍ତାନ,children
ସଫଳତା,Success
ସରକାରଙ୍କ,Govt
୧୪,14
୧୬,16
ଅସୁବିଧା,Trouble
ଏକାଡେମୀ,Academy
କୃଷ୍ଣ,Krishna
ଚାଷ,farming
ଜଣା,Known
ଜରିଆରେ,through
ଟଙ୍କା,Money
ତାରିଖ,Date
ଦେଶର,of the country
ନାରାୟଣ,Narayan
ପରମ୍ପରା,tradition
ପାର୍ଶ୍ୱ,Side
ପାଳିତ,Nurtured
ପ୍ରଦର୍ଶନ,Performance
ପ୍ରମାଣ,Proof
ବିଭାଗରେ,In the section
ବିମାନ,Airplane
ବେଳକୁ,By the time
ମାନସିକ,Psychic
ମିଟର,meter
ଶତାବ୍ଦୀରେ,In the century
ସୁଦ୍ଧା,By the way
ସୁଯୋଗ,Opportunity
ହେବାକୁ,to be
୩୦,30
ଉଚ୍ଚତା,Height
କଂଗ୍ରେସ,Congress
ଗତି,Speed
ଗୁରୁ,Master
ଜଗନ୍ନାଥ,Jagannath
ଜଣାଶୁଣା,Known
ତରଳ,Liquid
ତୃତୀୟ,Third
ଦିବସ,Day
ପବିତ୍ର,holy
ବିକଶିତ,Developed
ମନ୍ଦିରରେ,Temple
ମହାପାତ୍ର,Mahapatra
ଯୋଜନା,Plan
ସଦସ୍ୟ,Member
ସମୁଦାୟ,Total
ସମ୍ପୂର୍ଣ୍ଣ,Complete
ହତ୍ୟା,Murder
୨୦୦୧,2001
ଅବସ୍ଥାରେ,In the situation
ଅଭାବ,shortage
ଅଭିନେତା,Actor
ଆଇନ,Law
ଏଥିପାଇଁ,For that
କୋଟି,crores
କ୍ରିକେଟ,Cricket
ଚିହ୍ନଟ,Identification
ଜଙ୍ଗଲ,Forest
ଜନ,Jan
ଡାକ୍ତରୀ,Medical
ତେଲୁଗୁ,Telugu
ଦଳରେ,in the team
ଦି,The
ଦୂରଦର୍ଶନ,Remote viewing
ନାୟକ,the hero
ପ୍ରଦାହ,Inflammation
ପ୍ରଯୋଜନା,Sponsorship
ବିଭକ୍ତ,Divided
ବେଶ,Besh
ମୁଣ୍ଡ,Head
ଲେଖିଥିଲେ,wrote
ଶରୀରର,of the body
ସହରରେ,In the city
ଅକ୍ଟୋବର,October
ଅନୁଭବ,Feeling
ଇଚ୍ଛା,Desire
ଇତିହାସ,History
ଉପର,above
କୁମାର,Kumar
କ୍ଷୁଦ୍ର,short
ଗୁଡିକ,s
ଜନଗଣନା,Census
ଡିସେମ୍ବର,Dec
ଦିଅନ୍ତି,gives
ଧୀରେ,Slowly
ପଣ୍ଡିତ,Scholar
ପାଇଥିଲା,got
ପ୍ରଜାତିର,species
ପ୍ରଣାଳୀ,System
ଭକ୍ତ,Bhakti
ଭୋଟ,Vote
ମିଳିଥାଏ,is found
ଯଥାକ୍ରମେ,respectively
ରାମ,Ram
ଲୋକେ,people
ଶିବ,Shiva
ସଂକ୍ରମିତ,Infected
ସମାଜ,Society
ସମ୍ପର୍କରେ,In relation
ସୁନ୍ଦର,Beautiful
ସୁବିଧା,facilities
ହେଇ,hey
ହେଉଥିଲା,was
୯,9
ଅନ୍ତର୍ଗତ,under
ଏହାଦ୍ୱାରା,By this
କରାଯାଇପାରେ,Can be done
କହିଲେ,said
କ୍ଷମତା,Capacity
ଗଛର,of trees
ଗୁଡ଼ିକ,All of them
ଛାଡ଼ି,Leave
ଜୀବନର,of life
ତଳେ,below
ଦିଆଯାଇଥିଲା,was given
ଧଳା,White
ନିୟୁତ,million
ପଟ୍ଟନାୟକ,Patnaik
ପଥର,Stone
ପରିଚାଳନା,Management
ପରିବାରରେ,in the family
ପୁଅ,Son
ପୂର୍ଣ୍ଣ,full
ପ୍ରଭାବ,Effect
ଫିଲ୍ମ,Film
ବଡ,big
ବର୍ଣ୍ଣିତ,Described
ଭଗବାନ,God
ଭୂମିକା,role
ଯେପରି,As
ରକ୍ତଚାପ,blood pressure
ଶ୍ରେଣୀ,Class
ସଂଳାପ,Dialogue
ସଂସ୍କୃତ,Sanskrit
ସାମାନ୍ୟ,slight
ସ୍ନାତକୋତ୍ତର,Graduate
ସ୍ୱାମୀ,Husband
ହାତରେ,in hand
ହୋଇଥାଏ।,happens.
୧୮,18
୨୫,25
blood,blood
ଅତ୍ୟଧିକ,Too much
ଅପରେଶନ,operation
ଆକାର,size
ଆଲୋକ,Light
ଉପନ୍ୟାସ,novel
ଏଠାକାର,Here
କଂଗ୍ରେସର,Congress
କରିଛି,Done
କହିଥିଲେ,Said
କେବେ,when
ଚର୍ମ,Skin
ଚିହ୍ନ,Sign
ଜଟିଳ,Complicated
ତାମିଲ,Tamil
ଦାୟିତ୍ୱ,Responsibilities
ଦେହରେ,in the body
ପାର୍ଟିର,of the party
ପୃଥିବୀରେ,On earth
ପ୍ରଚାର,Propaganda
ବାହାରେ,Outside
ମତରେ,In opinion
ମଧ୍ୟମ,medium
ମାନବ,Human
ଯିଏ,whoever
ରଖିଥିଲେ,kept
ରାଷ୍ଟ୍ରପତି,President
ରେଳ,Rail
ଲେଖକ,The writer
ସମ୍ଭବ,Possible
ସମୟର,of time
ସ୍ତର,level
ସ୍ଥାପିତ,Installed
ସ୍ଥିତ,Positioned
